,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
196,0.0426787932714,0.00122638543447,0.733696815005,0.743618141979,entropy,26.0,0.11290322580645162,0.10000000000000001,"{'min_samples_split': 0.10000000000000001, 'criterion': 'entropy', 'max_depth': 26.0, 'min_samples_leaf': 0.11290322580645162}",1,0.762790859368,0.738141814402,0.749692726547,0.738586461182,0.718119456562,0.746817143413,0.721718371543,0.744363424504,0.726971532792,0.747236380168,0.722853342472,0.746563628208,0.000742380524333,6.77777820378e-05,0.0165921862265,0.00382676034245
127,0.0431884527206,0.00126767158508,0.733696815005,0.743618141979,entropy,7.0,0.11290322580645162,0.10000000000000001,"{'min_samples_split': 0.10000000000000001, 'criterion': 'entropy', 'max_depth': 7.0, 'min_samples_leaf': 0.11290322580645162}",1,0.762790859368,0.738141814402,0.749692726547,0.738586461182,0.718119456562,0.746817143413,0.721718371543,0.744363424504,0.726971532792,0.747236380168,0.722853342472,0.746563628208,0.000877666078637,2.75133387463e-05,0.0165921862265,0.00382676034245
58,0.035550514857,0.00120004018148,0.732933520386,0.742406368839,gini,19.0,0.12580645161290324,0.24516129032258066,"{'min_samples_split': 0.24516129032258066, 'criterion': 'gini', 'max_depth': 19.0, 'min_samples_leaf': 0.12580645161290324}",3,0.764908570502,0.737966209318,0.748376088792,0.736978252291,0.710842050847,0.744242319402,0.722023315114,0.742779401334,0.727073180649,0.746551278598,0.724340886253,0.745920752089,0.000602034839868,6.63590288398e-05,0.0181508644003,0.00370181262081
2,0.0346075296402,0.00120639801025,0.727822614962,0.73258262419,gini,17.0,0.10000000000000001,0.70967741935483875,"{'min_samples_split': 0.70967741935483875, 'criterion': 'gini', 'max_depth': 17.0, 'min_samples_leaf': 0.10000000000000001}",4,0.75130133494,0.727380318667,0.744799541757,0.729995421506,0.707719428681,0.737372616792,0.724010385507,0.734179058757,0.720386494194,0.732608104817,0.718688684561,0.733960224599,0.00110971423946,3.90339588942e-05,0.0152598870847,0.00319240413823
47,0.0344616969426,0.00125980377197,0.727822614962,0.73258262419,gini,32.0,0.10000000000000001,0.65161290322580645,"{'min_samples_split': 0.65161290322580645, 'criterion': 'gini', 'max_depth': 32.0, 'min_samples_leaf': 0.10000000000000001}",4,0.75130133494,0.727380318667,0.744799541757,0.729995421506,0.707719428681,0.737372616792,0.724010385507,0.734179058757,0.720386494194,0.732608104817,0.718688684561,0.733960224599,0.000373162993247,4.04455177736e-05,0.0152598870847,0.00319240413823
191,0.0421133041382,0.00127212206523,0.727168445744,0.732506568854,entropy,17.0,0.10000000000000001,0.6225806451612903,"{'min_samples_split': 0.6225806451612903, 'criterion': 'entropy', 'max_depth': 17.0, 'min_samples_leaf': 0.10000000000000001}",6,0.75130133494,0.727380318667,0.744799541757,0.729995421506,0.703793498022,0.736916284781,0.724010385507,0.734179058757,0.720386494194,0.732608104817,0.718688684561,0.733960224599,0.000167878962432,1.69688979079e-05,0.0161649686289,0.00308086956314
38,0.0420833826065,0.00123397509257,0.727168445744,0.732506568854,entropy,29.0,0.10000000000000001,0.65161290322580645,"{'min_samples_split': 0.65161290322580645, 'criterion': 'entropy', 'max_depth': 29.0, 'min_samples_leaf': 0.10000000000000001}",6,0.75130133494,0.727380318667,0.744799541757,0.729995421506,0.703793498022,0.736916284781,0.724010385507,0.734179058757,0.720386494194,0.732608104817,0.718688684561,0.733960224599,0.000436248513857,4.39425269524e-05,0.0161649686289,0.00308086956314
76,0.0373738209407,0.00126671791077,0.723280995988,0.72977616466,entropy,30.0,0.15161290322580645,0.27419354838709675,"{'min_samples_split': 0.27419354838709675, 'criterion': 'entropy', 'max_depth': 30.0, 'min_samples_leaf': 0.15161290322580645}",8,0.752229535552,0.725333930683,0.738743355936,0.724347822331,0.708180619529,0.733907901253,0.711796379013,0.729744272079,0.71888675267,0.73176364221,0.709815117069,0.733559419405,0.000853524276952,5.27095616378e-05,0.0165235730302,0.00375356921317
67,0.0369528532028,0.00116900602976,0.723058811524,0.729945557399,entropy,14.0,0.13870967741935486,0.12903225806451613,"{'min_samples_split': 0.12903225806451613, 'criterion': 'entropy', 'max_depth': 14.0, 'min_samples_leaf': 0.13870967741935486}",9,0.752970589599,0.725363078201,0.738189683961,0.724426499236,0.708180619529,0.733907901253,0.710140390212,0.730185724204,0.718280931443,0.732104277877,0.710555694313,0.733685863624,0.000795426540072,3.11643322048e-05,0.0167909050761,0.00378300877335
40,0.0362257957458,0.00117985407511,0.720197197801,0.727129445768,entropy,24.0,0.12580645161290324,0.33225806451612905,"{'min_samples_split': 0.33225806451612905, 'criterion': 'entropy', 'max_depth': 24.0, 'min_samples_leaf': 0.12580645161290324}",10,0.745047279132,0.720254900267,0.738189683961,0.724426499236,0.699712481776,0.728165564812,0.711213791581,0.730213789389,0.718670678369,0.732343261398,0.708317698925,0.727372659505,0.00197282365476,5.65992963312e-05,0.0162552112163,0.00392417805395
33,0.0308376948039,0.00127851963043,0.719833447475,0.727177678631,gini,31.0,0.15161290322580645,0.33225806451612905,"{'min_samples_split': 0.33225806451612905, 'criterion': 'gini', 'max_depth': 31.0, 'min_samples_leaf': 0.15161290322580645}",11,0.745047279132,0.720254900267,0.738743355936,0.724347822331,0.699160679124,0.732490388893,0.711796379013,0.729744272079,0.71624042332,0.728798157327,0.70798022804,0.727430530891,0.00128102253494,8.56098395656e-05,0.016528087088,0.00394620333747
1,0.0338052113851,0.00124196211497,0.719651912256,0.725219354864,entropy,6.0,0.15161290322580645,0.39032258064516134,"{'min_samples_split': 0.39032258064516134, 'criterion': 'entropy', 'max_depth': 6.0, 'min_samples_leaf': 0.15161290322580645}",12,0.745047279132,0.720254900267,0.737772835635,0.720410191845,0.702611478657,0.728518480448,0.708227087121,0.725903868409,0.71624042332,0.728798157327,0.70798022804,0.727430530891,0.000523545461233,5.55045103295e-05,0.0160335951957,0.0035782624576
69,0.0303194920222,0.00118748346965,0.719419885833,0.727189780524,gini,23.0,0.16451612903225807,0.24516129032258066,"{'min_samples_split': 0.24516129032258066, 'criterion': 'gini', 'max_depth': 23.0, 'min_samples_leaf': 0.16451612903225807}",13,0.743333989988,0.719469380475,0.736505477584,0.723652897186,0.700044144212,0.73204345837,0.712991176966,0.729306371628,0.716310124707,0.728559754144,0.70730412458,0.730106821339,0.000787979011697,7.25372173956e-05,0.0154776516136,0.00429220654281
52,0.0284358263016,0.00115223725637,0.719195179905,0.72470767627,gini,7.0,0.17741935483870969,0.21612903225806451,"{'min_samples_split': 0.21612903225806451, 'criterion': 'gini', 'max_depth': 7.0, 'min_samples_leaf': 0.17741935483870969}",14,0.745816144433,0.71939078669,0.736522870421,0.720106630893,0.697175351266,0.728248367553,0.711962500653,0.72535456612,0.716310124707,0.728559754144,0.707351173016,0.726585952217,0.000318249473511,5.08475560709e-05,0.0168083261054,0.00366879451329
193,0.0333465337753,0.00132517019908,0.718722675966,0.72480686391,entropy,16.0,0.17741935483870969,0.12903225806451613,"{'min_samples_split': 0.12903225806451613, 'criterion': 'entropy', 'max_depth': 16.0, 'min_samples_leaf': 0.17741935483870969}",15,0.745816144433,0.71939078669,0.736522870421,0.720106630893,0.694339666479,0.728843493394,0.711962500653,0.72535456612,0.716310124707,0.728559754144,0.707351173016,0.726585952217,0.000486572654909,7.65352625742e-05,0.0174483623949,0.00376983152763
